Player Name,Team,Status,WAR,Base_Value,Contract_Value,Surplus_Value,IDfg,Age_bat,BB%_bat,K%_bat,AVG,OBP,SLG,wOBA,wRC+,EV,Off,BsR,Def,Age_pit,FIP,SIERA,K%_pit,BB%_pit,GB%,FB%,Stuff+,Location+,Pitching+,FBv
Kyle Leahy,stl,ARB3,0.3,2187911.25,4862025.0,-2674113.75,24763.0,,,,,,,,,,,,,32.0,4.5376935,4.0441613,0.2394158,0.10515243,0.4236148,0.37491655,111.074165,97.9527,101.16243,95.28925
Taj Bradley,tb,ARB3,3.7,33183320.63,16591660.31,16591660.31,22543.0,,,,,,,,,,,,,28.0,3.5321243,3.647259,0.27937922,0.092746094,0.43378216,0.36031196,104.47525,99.06383,101.22085,96.07129
Joe Boyle,tb,ARB2,3.0,25525631.25,8423458.31,17102172.94,29608.0,,,,,,,,,,,,,29.0,3.7360058,3.9244335,0.25545007,0.09215238,0.4113095,0.38427132,97.0515,99.23237,99.45009,94.73139
Mason Montgomery,tb,ARB2,0.9,6563733.75,3038765.63,3524968.13,29770.0,,,,,,,,,,,,,29.0,3.8742821,3.5490813,0.29019368,0.10991898,0.44130725,0.3610298,119.36535,97.43373,103.45115,96.37191
Jonathan Aranda,tb,ARB3,0.7576829754258817,5525810.35,4862025.0,663785.35,21837.0,31.0,0.08354899,0.23486838,0.24893439,0.31869438,0.43126822,0.32222196,107.768295,91.38237,6.772225769554699,-4.5135641971137375,-13.734586536884308,,,,,,,,,,,
Hunter Bigge,tb,ARB2,0.5,3646518.75,3038765.63,607753.12,26259.0,,,,,,,,,,,,,31.0,4.2644343,3.9013593,0.21790308,0.08638096,0.45782623,0.33457825,107.49099,99.95996,101.720955,94.14039
Kumar Rocker,tex,ARB2,1.6,11668860.0,3850723.8,7818136.2,31843.0,,,,,,,,,,,,,29.0,4.209754,4.3170958,0.21490778,0.08319252,0.42901477,0.35785314,90.08953,99.53332,96.537155,93.27404
Corey Seager,tex,"$31,500,000",1.2162621962489473,8870245.81,32500000.0,-23629754.19,13624.0,35.0,0.08024277,0.21479961,0.2555793,0.32406145,0.4341575,0.32734856,109.64199,91.24421,9.39804297540246,-4.32395996293053,-12.055931612849236,,,,,,,,,,,
Cole Winn,tex,ARB2,0.8,5834430.0,3038765.63,2795664.38,22113.0,,,,,,,,,,,,,29.0,3.9973593,3.6190636,0.22770505,0.06758683,0.41628048,0.37294334,109.83046,103.13732,104.466606,94.63328
Walter Pennington,tex,ARB2,0.4,2917215.0,3038765.63,-121550.62,27624.0,,,,,,,,,,,,,31.0,4.3844476,4.162139,0.18311453,0.06319601,0.43563107,0.3549303,95.93262,102.45706,100.630646,91.16336
Gerson Garabito,tex,ARB2,0.2,1458607.5,3038765.63,-1580158.13,19835.0,,,,,,,,,,,,,33.0,4.625663,4.1359944,0.2008781,0.06486229,0.36670205,0.4122295,100.00005,102.05078,101.83276,92.36948
Grant Anderson,tex,ARB3,0.2,1458607.5,4862025.0,-3403417.5,20546.0,,,,,,,,,,,,,32.0,4.60972,4.0929074,0.20882091,0.06903187,0.36166096,0.41903406,101.01028,101.779976,101.84985,92.65554
Cody Bradford,tex,ARB3,-0.4,0.0,4862025.0,-4862025.0,27597.0,,,,,,,,,,,,,31.0,5.1506886,5.2428985,0.16262214,0.0749075,0.36864132,0.42552304,83.57125,101.812195,96.32646,89.774925
Jake Bloss,tor,ARB2,2.2,16773986.25,5535415.46,11238570.79,33168.0,,,,,,,,,,,,,28.0,4.017306,4.0639763,0.22691584,0.0731932,0.4266292,0.36888465,95.024185,101.316956,99.569084,94.76798
Andres Gimenez,tor,,1.9218642769033172,14016228.24,23571428.0,-9555199.76,19950.0,30.0,0.05311753,0.13666151,0.26641807,0.31448022,0.3918788,0.30831856,93.87315,87.045395,-0.3490326230118898,-1.1418451720965097,1.4239295851439238,,,,,,,,,,,
Nick Robertson,tor,ARB2,0.7,5105126.25,3038765.63,2066360.63,26226.0,,,,,,,,,,,,,30.0,4.0696664,3.8395483,0.2370821,0.09915543,0.49571055,0.29684433,111.43821,97.92354,101.6411,95.011215
Brett de Geus,tor,ARB3,0.6,4375822.5,4862025.0,-486202.5,23592.0,,,,,,,,,,,,,31.0,4.1688914,4.098194,0.16789402,0.0770587,0.55095756,0.25086752,96.061485,100.129135,98.763084,91.41393
Easton Lucas,tor,ARB2,0.4,2917215.0,3038765.63,-121550.62,26058.0,,,,,,,,,,,,,32.0,4.4437075,4.0318165,0.21343353,0.08344166,0.42806473,0.3633442,104.50174,100.33598,101.342354,93.8961
Brendon Little,tor,ARB2,0.3,2187911.25,3038765.63,-850854.38,21574.0,,,,,,,,,,,,,32.0,4.5382977,4.272833,0.20527494,0.095346175,0.4725745,0.32230496,99.212265,98.261024,98.791756,92.398735
Michael Petersen,tor,ARB2,0.2,1458607.5,3038765.63,-1580158.13,20827.0,,,,,,,,,,,,,35.0,4.708894,4.157358,0.21845444,0.08554388,0.3838294,0.40652812,105.52332,100.42921,101.96023,94.493935
DJ Herz,wsh,ARB2,3.2,27713542.5,9145469.03,18568073.48,26389.0,,,,,,,,,,,,,28.0,3.6732264,3.8462422,0.26111814,0.09261889,0.4179027,0.37601373,98.535,99.21464,99.844765,95.13794
Keibert Ruiz,wsh,,1.6032939891185258,11692883.19,9375000.0,2317883.19,19610.0,30.0,0.059931967,0.15501964,0.2636658,0.31610024,0.40140462,0.31227952,97.417206,87.72746,1.6797553853290854,-1.4794148270084406,-3.3892775885760784,,,,,,,,,,,
Juan Yepez,wsh,ARB3,0.914973763162752,6672937.97,4862025.0,1810912.97,18400.0,31.0,0.06991132,0.1966518,0.2524137,0.3113235,0.3972123,0.3087731,96.019745,88.49654,-0.116216880519214,-2.18051396717783,-7.6377443969249725,,,,,,,,,,,
Eduardo Salazar,wsh,ARB2,0.7,5105126.25,3038765.63,2066360.63,23135.0,,,,,,,,,,,,,31.0,4.1476817,4.114875,0.15335831,0.071009465,0.57285136,0.22785154,94.90188,100.17857,98.62582,90.35402
Joan Adon,wsh,ARB3,0.6,4375822.5,4862025.0,-486202.5,22925.0,,,,,,,,,,,,,30.0,4.2491903,4.169277,0.155785,0.06579565,0.530155,0.26554596,93.39093,100.76704,98.93639,89.640015
Robert Garcia,wsh,ARB3,0.6,4375822.5,4862025.0,-486202.5,23363.0,,,,,,,,,,,,,33.0,4.174682,3.8854272,0.21192642,0.059606187,0.39539042,0.38577896,106.330925,103.803986,104.16458,94.17467
Zach Brzykcy,wsh,ARB2,0.6,4375822.5,3038765.63,1337056.88,27783.0,,,,,,,,,,,,,29.0,4.1982946,3.708879,0.23781875,0.08051507,0.40604052,0.3873203,110.681305,101.222984,103.34763,94.845474
Joe La Sorsa,wsh,ARB2,0.3,2187911.25,3038765.63,-850854.38,25481.0,,,,,,,,,,,,,31.0,4.5870857,4.0993776,0.19980757,0.06298683,0.36132845,0.41664597,97.91743,101.61852,100.965706,90.52582
Mitchell Parker,wsh,ARB2,-0.0,0.0,3038765.63,-3038765.63,27636.0,,,,,,,,,,,,,29.0,4.964654,5.031055,0.17459898,0.07563182,0.3741896,0.42128265,84.34254,101.6276,96.68142,90.57884
