Player Name,Team,Status,Position,Age,WAR,Base_Value,Contract_Value,Surplus_Value,IDfg,BB%_bat,K%_bat,AVG,OBP,SLG,wOBA,wRC+,EV,Off,BsR,Def,WAR_batter,ERA,FIP,SIERA,K%_pit,BB%_pit,WAR_pitcher
Eguy Rosario,sd,FA,3B,35.0,0.3507200792481179,4153211.14,,,19964.0,0.055433232,0.23695938,0.23227093,0.28519824,0.3620688,0.28505188,78.58202,88.80303,-12.266109082756971,-4.57020060159266,1.3721483373641967,0.3507200792481179,,,,,,
Wandy Peralta,sd,FA,RP,43.0,0.3,3552586.28,,,14295.0,,,,,,,,,,,,,4.414978,4.495017,4.234761,0.16620348,0.091042176,0.3
Tom Cosgrove,sd,FA,RP,39.0,0.3,3552586.28,,,23443.0,,,,,,,,,,,,,4.317772,4.4878507,4.1401677,0.17139529,0.08538586,0.3
Robert Suarez,sd,FA,RP,44.0,0.3,3552586.28,,,30115.0,,,,,,,,,,,,,4.457422,4.5175624,4.2580824,0.15549012,0.08476845,0.3
Yu Darvish,sd,FA,SP,48.0,0.1,1184195.43,,,13074.0,,,,,,,,,,,,,4.9494114,4.919974,4.9986057,0.12408011,0.05232758,0.1
Dylan Cease,sd,FA,SP,39.0,0.1,1184195.43,,,18525.0,,,,,,,,,,,,,4.593257,4.8900557,5.0152154,0.1743717,0.07924041,0.1
Joe Musgrove,sd,FA,SP,42.0,0.0,0.0,,,12970.0,,,,,,,,,,,,,4.8200693,4.931888,5.0504947,0.13895695,0.06639783,0.0
Michael King,sd,FA,SP,40.0,-0.1,0.0,,,19853.0,,,,,,,,,,,,,4.8569574,5.015755,5.143126,0.14004515,0.06934237,-0.1
Randy Vasquez,sd,FA,SP,36.0,-0.1,0.0,,,24719.0,,,,,,,,,,,,,4.695925,4.997987,5.111249,0.16301332,0.07745296,-0.1
Matt Waldron,sd,FA,SP,38.0,-0.3,0.0,,,25550.0,,,,,,,,,,,,,4.8102965,5.105626,5.208784,0.15111288,0.07423501,-0.3
Luis Campusano,sd,FA,C,36.0,-0.6485583869224413,0.0,,,22217.0,0.055377513,0.24136844,0.22891939,0.28226367,0.3547785,0.28151858,75.83963,88.72524,-14.075850021548383,-4.770478319842368,-6.410761974066162,-0.6485583869224413,,,,,,
Tyler Wade,sd,FA,SS/3B,40.0,-0.6703949746309427,0.0,,,15730.0,0.08387304,0.32355285,0.17485069,0.25141352,0.26579627,0.24494942,45.980206,86.325195,-32.80639702808566,-3.2975543872453272,10.632862540330764,-0.6703949746309427,,,,,,
Luis Arraez,sd,FA,1B/2B,38.0,-1.4453065289774834,0.0,,,18568.0,0.061581846,0.24860686,0.22204605,0.28017345,0.34003672,0.2766482,71.27739,88.457985,-16.57043742552036,-4.883749075233936,-11.61103560684203,-1.4453065289774834,,,,,,
Xander Bogaerts,sd,FA,2B/SS,42.0,-2.0524122357320875,0.0,,,12161.0,0.06230506,0.34091893,0.16557285,0.23102276,0.25759238,0.22990692,35.404003,87.33292,-40.51109148816364,-6.443392068031244,7.939625522403437,-2.0524122357320875,,,,,,
Manny Machado,sd,FA,3B,42.0,-2.49135575649809,0.0,,,11493.0,0.06331487,0.3335441,0.17057134,0.23699804,0.268596,0.2360693,39.808144,87.56166,-37.35474533278767,-6.360359305981547,0.3986001014709468,-2.49135575649809,,,,,,
Jake Cronenworth,sd,FA,2B/1B,41.0,-3.832116862859398,0.0,,,18036.0,0.0720908,0.34367147,0.16382077,0.23610552,0.25624922,0.2334512,37.28904,87.024506,-38.69572554274303,-5.776091060251929,-11.984146776644137,-3.832116862859398,,,,,,
Bryan Woo,sea,FA,SP,35.0,5.3,69571481.39,,,30279.0,,,,,,,,,,,,,2.5245621,3.002542,3.2030346,0.30789933,0.05549194,5.3
Bryce Miller,sea,FA,SP,36.0,4.8,62170259.97,,,29837.0,,,,,,,,,,,,,2.68693,3.1705344,3.3665607,0.29930604,0.05799823,4.8
George Kirby,sea,FA,SP,37.0,4.4,56249282.83,,,25436.0,,,,,,,,,,,,,2.8279421,3.3199933,3.513033,0.29036167,0.059797913,4.4
Logan Gilbert,sea,FA,SP,38.0,4.2,53288794.26,,,22250.0,,,,,,,,,,,,,2.8724709,3.3960106,3.5872643,0.2848005,0.059940226,4.2
Julio Rodriguez,sea,UFA,CF,34.0,3.110915449436222,38483744.76,,,23697.0,0.08626146,0.20230313,0.26900703,0.33970967,0.4604406,0.3428448,122.53932,92.442566,17.33514866596315,-4.919494476635009,-0.8299009084701541,3.110915449436222,,,,,,
Andres Munoz,sea,FA,RP,36.0,0.5,5920977.14,,,20373.0,,,,,,,,,,,,,4.1047416,4.289506,4.050553,0.22055763,0.108346626,0.5
Jackson Kowar,sea,FA,RP,38.0,0.5,5920977.14,,,21549.0,,,,,,,,,,,,,4.219587,4.354228,4.1111965,0.20148319,0.09765045,0.5
Gregory Santos,sea,FA,RP,35.0,0.5,5920977.14,,,21894.0,,,,,,,,,,,,,4.0708623,4.324876,4.060555,0.18756787,0.0884925,0.5
Matt Brash,sea,FA,RP,37.0,0.5,5920977.14,,,25756.0,,,,,,,,,,,,,4.149957,4.353722,4.0781713,0.211365,0.10723377,0.5
Troy Taylor,sea,FA,RP,33.0,0.5,5920977.14,,,31883.0,,,,,,,,,,,,,4.2093077,4.3364353,4.0674148,0.21072544,0.08545969,0.5
Tayler Saucedo,sea,FA,RP,42.0,0.4,4736781.71,,,17888.0,,,,,,,,,,,,,4.3466673,4.4804935,4.2008595,0.1693746,0.0924479,0.4
Eduard Bazardo,sea,FA,RP,39.0,0.4,4736781.71,,,20997.0,,,,,,,,,,,,,4.264208,4.4518776,4.135314,0.18917851,0.089990206,0.4
Cody Bolton,sea,FA,RP,37.0,0.4,4736781.71,,,23265.0,,,,,,,,,,,,,4.1823626,4.3842216,4.1014805,0.19649412,0.095678255,0.4
Gabe Speier,sea,FA,RP,40.0,0.3,3552586.28,,,17170.0,,,,,,,,,,,,,4.377173,4.5006557,4.165236,0.18197444,0.0868462,0.3
Trent Thornton,sea,FA,RP,41.0,0.3,3552586.28,,,17948.0,,,,,,,,,,,,,4.409437,4.5182366,4.215123,0.16299057,0.083657764,0.3
Collin Snider,sea,FA,RP,39.0,0.3,3552586.28,,,23307.0,,,,,,,,,,,,,4.3414254,4.5031,4.1729107,0.17601135,0.086617865,0.3
Luis Castillo,sea,FA,SP,42.0,-0.1,0.0,,,15689.0,,,,,,,,,,,,,4.8189583,4.9886813,5.093463,0.1377826,0.06683674,-0.1
Emerson Hancock,sea,FA,SP,36.0,-0.1,0.0,,,27470.0,,,,,,,,,,,,,4.6683807,5.0146317,5.1108446,0.16880274,0.07781162,-0.1
J.P. Crawford,sea,FA,SS,40.0,-1.2067467208716285,0.0,,,15491.0,0.08075881,0.32673132,0.17432578,0.25177035,0.27563062,0.24759509,47.397488,87.111565,-31.451297059291747,-4.919678605438094,5.643639676570892,-1.2067467208716285,,,,,,
Dylan Moore,sea,FA,SS/3B,42.0,-2.080606053577633,0.0,,,18042.0,0.07958096,0.34041855,0.16491012,0.24109058,0.2562307,0.23713478,39.490047,86.61922,-36.80901283752628,-4.636199379747268,2.1540547685957456,-2.080606053577633,,,,,,
Victor Robles,sea,FA,OF,38.0,-2.644616005079372,0.0,,,18363.0,0.06047937,0.27297232,0.20967372,0.26898712,0.32544914,0.266583,63.81681,88.36418,-21.725782714238974,-5.427781760226935,-17.664890498928923,-2.644616005079372,,,,,,
Randy Arozarena,sea,FA,OF,40.0,-4.022688038105769,0.0,,,19290.0,0.06827049,0.34763125,0.16217048,0.2314908,0.25147396,0.22898957,34.533905,86.97785,-40.980951268498494,-5.9681405234732665,-11.374469105081763,-4.022688038105769,,,,,,
Cal Raleigh,sea,FA,C,38.0,-5.031599464763576,0.0,,,21534.0,0.051621903,0.37176704,0.14976396,0.2061298,0.2254009,0.20709963,19.347136,86.75259,-52.19287170724171,-6.922236271784641,-9.09578489927368,-5.031599464763576,,,,,,
Mitch Haniger,sea,FA,RF,44.0,-5.830530142187165,0.0,,,14274.0,0.061820205,0.3791106,0.14286304,0.20544113,0.21251842,0.20351706,15.954492,86.174614,-54.02784503669274,-5.929054171429016,-16.083514308929445,-5.830530142187165,,,,,,
Luke Raley,sea,FA,OF,40.0,-6.551787567945109,0.0,,,19354.0,0.051762268,0.37313813,0.14676972,0.20195329,0.21610223,0.20204292,15.902519,86.53724,-54.782893416358206,-6.9542246736818925,-21.371618199438952,-6.551787567945109,,,,,,
Mitch Garver,sea,FA,C,44.0,-7.477377522876853,0.0,,,15161.0,0.08042076,0.33920267,0.16544072,0.24312884,0.26115483,0.23994547,41.071774,86.83652,-35.36939275555494,-4.888995258661453,-51.92112983359375,-7.477377522876853,,,,,,
Keaton Winn,sf,FA,SP,37.0,3.3,41002766.69,,,23499.0,,,,,,,,,,,,,3.2049186,3.6449978,3.8277223,0.26934013,0.06491994,3.3
Hayden Birdsong,sf,FA,SP,33.0,2.7,33009447.55,,,31635.0,,,,,,,,,,,,,3.6563165,3.8282797,3.972372,0.26368323,0.08008059,2.7
Kyle Harrison,sf,FA,SP,33.0,1.0,11841954.28,,,27758.0,,,,,,,,,,,,,4.210364,4.4895816,4.580757,0.21623515,0.07663095,1.0
Randy Rodriguez,sf,FA,RP,35.0,0.6,7105172.57,,,23974.0,,,,,,,,,,,,,4.0619936,4.2257495,4.047008,0.21757476,0.10287259,0.6
Camilo Doval,sf,FA,RP,37.0,0.5,5920977.14,,,21992.0,,,,,,,,,,,,,4.146443,4.3635325,4.0716047,0.21281695,0.10889306,0.5
Taylor Rogers,sf,FA,RP,44.0,0.4,4736781.71,,,13449.0,,,,,,,,,,,,,4.2916074,4.4328585,4.1361885,0.15652168,0.08669497,0.4
Tyler Rogers,sf,FA,RP,44.0,0.4,4736781.71,,,15541.0,,,,,,,,,,,,,4.3458815,4.4674754,4.2033615,0.14537258,0.08420446,0.4
Ryan Walker,sf,FA,RP,39.0,0.4,4736781.71,,,20423.0,,,,,,,,,,,,,4.265057,4.4620028,4.0858736,0.18416826,0.086761594,0.4
Sean Hjelle,sf,FA,RP,38.0,0.4,4736781.71,,,21481.0,,,,,,,,,,,,,4.2787027,4.460922,4.113493,0.17129478,0.08402108,0.4
Erik Miller,sf,FA,RP,37.0,0.4,4736781.71,,,26252.0,,,,,,,,,,,,,4.2613263,4.402901,4.1008673,0.20906344,0.09757001,0.4
Landen Roupp,sf,FA,RP,36.0,0.4,4736781.71,,,30076.0,,,,,,,,,,,,,4.214393,4.4028807,4.048089,0.19120659,0.082664594,0.4
Spencer Bivens,sf,FA,RP,41.0,0.4,4736781.71,,,30226.0,,,,,,,,,,,,,4.286245,4.44348,4.1471286,0.15325777,0.085722834,0.4
