Player Name,Team,Status,Position,Age,WAR,Base_Value,Contract_Value,Surplus_Value,IDfg,BB%_bat,K%_bat,AVG,OBP,SLG,wOBA,wRC+,EV,Off,BsR,Def,FIP,SIERA,K%_pit,BB%_pit,GB%,FB%,Stuff+,Location+,Pitching+,FBv
Dairon Blanco,kc,FA,OF,41.0,-5.82306492364742,0.0,,,19779.0,0.061160762,0.37285617,0.146344,0.20467977,0.20550728,0.19980481,14.730272,85.52264,-55.9292422911016,-4.855798002972733,-15.182214081287384,,,,,,,,,,
Freddy Fermin,kc,FA,C,39.0,-7.554126408295127,0.0,,,21840.0,0.04539613,0.363857,0.15192798,0.20139599,0.21807125,0.2013613,16.518126,86.61664,-55.13201781017025,-7.366847562370822,-30.432791552368165,,,,,,,,,,
Salvador Perez,kc,FA,1B,44.0,-7.962265324609994,0.0,,,7304.0,0.06709332,0.35257408,0.15755105,0.22685543,0.24668258,0.22593667,31.555864,87.044044,-42.54463442069728,-6.248837272287346,-48.1379466118103,,,,,,,,,,
Caden Dana,laa,FA,SP,30.0,1.9,21634339.55,,,31508.0,,,,,,,,,,,,4.112874,4.2602005,0.22059608,0.08688578,0.4363712,0.3492152,91.55499,99.243706,96.96382,93.64675
Luis Rengifo,laa,FA,3B/2B,37.0,1.098548128813268,12508612.23,,,19858.0,0.05711273,0.2478397,0.22470224,0.27970925,0.3468997,0.27797198,72.974945,88.64056,-15.892398973790607,-4.924155485350639,12.681107997894289,,,,,,,,,,
Ben Joyce,laa,FA,RP,33.0,0.4,4554597.8,,,31461.0,,,,,,,,,,,,4.3987465,4.1134953,0.21809608,0.10354687,0.5082382,0.28584462,106.55404,96.92195,99.94357,93.77492
Brock Burke,laa,FA,RP,37.0,0.3,3415948.35,,,17968.0,,,,,,,,,,,,4.515114,4.111019,0.20593262,0.0641743,0.37791058,0.4030156,103.576744,102.81916,103.0436,94.20361
Jose Quijada,laa,FA,RP,38.0,0.3,3415948.35,,,19200.0,,,,,,,,,,,,4.597731,4.2535243,0.18264064,0.06804426,0.42805097,0.35928828,100.55227,101.32586,101.15077,92.01694
José Suarez,laa,FA,RP,36.0,0.3,3415948.35,,,19911.0,,,,,,,,,,,,4.521728,4.3387933,0.1678009,0.07446258,0.4929973,0.29967043,97.56531,99.8842,99.28009,90.5479
Ryan Zeferjahn,laa,FA,RP,36.0,0.3,3415948.35,,,25420.0,,,,,,,,,,,,4.55235,4.2395754,0.1821877,0.06642219,0.42518377,0.36147383,99.89024,101.43278,101.11898,91.96087
Hans Crouse,laa,FA,RP,35.0,0.2,2277298.9,,,22192.0,,,,,,,,,,,,4.705669,4.346273,0.18038364,0.0745238,0.4331461,0.35600904,97.03356,99.928215,99.51716,90.98799
Jack Kochanowicz,laa,FA,SP,33.0,0.1,1138649.45,,,27688.0,,,,,,,,,,,,4.896,4.97916,0.17230886,0.07434378,0.3993814,0.39341533,83.68723,100.8164,95.93492,90.945694
Jose Soriano,laa,FA,SP,35.0,-0.1,0.0,,,22100.0,,,,,,,,,,,,5.0305424,5.202945,0.16184214,0.07596962,0.41164982,0.3774933,86.35492,101.13522,96.59677,90.2043
Kevin Newman,laa,FA,2B/SS,40.0,-0.1310786367216302,0.0,,,17696.0,0.08007151,0.32463464,0.17388259,0.2486424,0.26579732,0.2432538,44.702724,86.59258,-33.67488431349033,-4.230035442888038,17.719130992889404,,,,,,,,,,
Samuel Aldegheri,laa,FA,SP,32.0,-0.3,0.0,,,26443.0,,,,,,,,,,,,5.1345162,5.200924,0.17062512,0.08013424,0.35519838,0.43585366,83.80856,101.39241,96.18585,89.36147
Reid Detmers,laa,FA,SP,34.0,-0.5,0.0,,,27468.0,,,,,,,,,,,,5.217631,5.2827916,0.16521162,0.08055553,0.3606772,0.4326431,84.85379,101.3356,96.419136,89.53642
Davis Daniel,laa,FA,SP,37.0,-0.7,0.0,,,27582.0,,,,,,,,,,,,5.3160286,5.401822,0.15717413,0.080715984,0.36105856,0.43039754,85.39522,101.38285,96.41313,89.1378
Logan O'Hoppe,laa,FA,C,34.0,-0.8621067439463356,0.0,,,24729.0,0.05833273,0.22624741,0.24044852,0.2939827,0.38043895,0.295091,86.009125,89.16055,-7.124120322669423,-4.216544951777905,-16.00919893984375,,,,,,,,,,
