IDfg,Name,Team,contract_value,war_market_value,surplus_value
20116,Calvin Faucher,mia,"$800,000",8.5,7.7
25942,Andrew Nardi,mia,"$800,000",8.5,7.7
29911,Andrew Abbott,cin,"$800,000",8.5,7.7
22184,Mark Vientos,nym,"$800,000",8.47,7.67
21897,Christopher Morel,tb,"$800,000",8.31,7.51
19427,Shane Bieber,cle,"$10,000,000",17.42,7.42
19343,A.J. Puk,ari,"$2,360,000",9.78,7.42
24770,James Outman,lad,"$800,000",8.15,7.35
20043,Luis Robert Jr.,chw,"$15,000,000",22.31,7.31
22558,Jarred Kelenic,atl,"$2,600,000",9.87,7.27
20538,Jose Miranda,min,"$800,000",8.03,7.23
27555,Garrett Mitchell,mil,"$800,000",7.96,7.16
16258,Aaron Bummer,atl,"$6,500,000",13.6,7.1
20178,Miguel Vargas,chw,"$800,000",7.84,7.04
13649,Clay Holmes,nym,"$13,000,000",19.98,6.98
19354,Luke Raley,sea,"$800,000",7.68,6.88
22925,Joan Adon,wsh,"$800,000",7.65,6.85
24993,Kody Funderburk,min,"$800,000",7.65,6.85
23974,Randy Rodriguez,sf,"$800,000",7.65,6.85
23265,Cody Bolton,sea,"$800,000",7.65,6.85
22288,Mason Englert,det,"$800,000",7.65,6.85
20794,Manuel Rodriguez,tb,"$800,000",7.65,6.85
30106,Jack Neely,chc,"$800,000",7.65,6.85
29608,Joe Boyle,tb,"$800,000",7.65,6.85
27472,Jared Shuster,chw,"$800,000",7.65,6.85
24614,Victor Vodnik,col,"$800,000",7.65,6.85
19883,Alex Lange,det,"$800,000",7.65,6.85
25311,Roddery Munoz,stl,"$800,000",7.65,6.85
19261,Ian Hamilton,nyy,"$800,000",7.65,6.85
31204,Justin Wrobleski,lad,"$800,000",7.65,6.85
20572,Kody Clemens,phi,"$800,000",7.6,6.8
21479,Nico Hoerner,chc,"$11,500,000",18.29,6.79
18126,LaMonte Wade Jr.,sf,"$4,300,000",11.0,6.7
13774,Zach Eflin,bal,"$13,333,333",19.98,6.64
