Player Name,Team,Status,WAR,Base_Value,Contract_Value,Surplus_Value
Luis Contreras,hou,ARB1,0.3,2083725.0,1157625.0,926100.0
Bryan King,hou,ARB1,0.3,2083725.0,1157625.0,926100.0
Tayler Scott,hou,ARB3,0.1,694575.0,4630500.0,-3935925.0
Josh Hader,hou,"$19,000,000",0.1,694575.0,19000000.0,-18305425.0
Nick Hernandez,hou,ARB1,0.1,694575.0,1157625.0,-463050.0
Kaleb Ort,hou,ARB2,0.1,694575.0,2894062.5,-2199487.5
Jose Altuve,hou,"$12,500,000",-1.0928500453916512,0.0,25000000.0,-25000000.0
Jon Singleton,hou,ARB3,-1.202274778660984,0.0,4630500.0,-4630500.0
Bobby Witt Jr.,kc,,5.002691258498161,48657635.62,30707070.0,17950565.62
Cole Ragans,kc,ARB3,3.3,27435712.5,13717856.25,13717856.25
Maikel Garcia,kc,ARB3,2.554385940180456,19667439.22,9833719.61,9833719.61
Vinnie Pasquantino,kc,ARB3,2.45970406338645,18680984.25,9340492.12,9340492.12
James McArthur,kc,ARB3,1.4,9724050.0,4862025.0,4862025.0
Michael Massey,kc,ARB3,1.2533448143918835,8705419.74,4630500.0,4074919.74
MJ Melendez,kc,ARB 4,1.2181280246444832,8460812.73,4630500.0,3830312.73
Nelson Velazquez,kc,ARB2,0.8774130875723353,6094291.95,2894062.5,3200229.45
Alec Marsh,kc,ARB1,0.7,4862025.0,1215506.25,3646518.75
Angel Zerpa,kc,ARB3,0.6,4167450.0,4630500.0,-463050.0
Steven Cruz,kc,ARB1,0.5,3472875.0,1157625.0,2315250.0
Lucas Erceg,kc,ARB3,0.3,2083725.0,4630500.0,-2546775.0
Sam Long,kc,ARB3,0.3,2083725.0,4630500.0,-2546775.0
Freddy Fermin,kc,ARB3,-0.1480436156943811,0.0,4630500.0,-4630500.0
Michael Wacha,kc,Club,-0.5,0.0,14000000.0,-14000000.0
Dairon Blanco,kc,ARB3,-2.0914129178350085,0.0,4630500.0,-4630500.0
Caden Dana,laa,ARB1,3.8,32645025.0,8161256.25,24483768.75
Jack Kochanowicz,laa,ARB1,3.5,29519437.5,7379859.38,22139578.13
Jose Soriano,laa,ARB3,2.1,14933362.5,7466681.25,7466681.25
Ben Joyce,laa,ARB2,1.4,9724050.0,3208936.5,6515113.5
Davis Daniel,laa,ARB2,1.2,8334900.0,2894062.5,5440837.5
Logan O'Hoppe,laa,ARB3,1.068914025309324,7424409.59,4630500.0,2793909.59
Reid Detmers,laa,ARB 4,0.8,5556600.0,4630500.0,926100.0
Samuel Aldegheri,laa,ARB1,0.6,4167450.0,1157625.0,3009825.0
Ryan Zeferjahn,laa,ARB1,0.4,2778300.0,1157625.0,1620675.0
Hans Crouse,laa,ARB2,0.3,2083725.0,2894062.5,-810337.5
Mike Trout,laa,"$37,116,666",-0.916760194363066,0.0,35541667.0,-35541667.0
Bobby Miller,lad,ARB2,4.4,40285350.0,13294165.5,26991184.5
Mookie Betts,lad,"$35,000,000",3.540106938100724,29937296.65,30416667.0,-479370.35
Shohei Ohtani,lad,"$2,000,000",3.169568330371349,26076793.85,46081476.0,-20004682.15
Landon Knack,lad,ARB1,3.0,24310125.0,6077531.25,18232593.75
River Ryan,lad,ARB1,2.9,23268262.5,5817065.63,17451196.88
Blake Snell,lad,,2.8,22226400.0,36400000.0,-14173600.0
Justin Wrobleski,lad,ARB1,2.8,22226400.0,5556600.0,16669800.0
Tyler Glasnow,lad,Club,2.3,17017087.5,30000000.0,-12982912.5
Yoshinobu Yamamoto,lad,,1.9,13196925.0,30166666.0,-16969741.0
Will Smith,lad,,1.716570838197953,11922871.9,7500000.0,4422871.9
Tommy Edman,lad,,0.81509558106573,5661450.13,15650000.0,-9988549.87
Michael Grove,lad,ARB3,0.6,4167450.0,4630500.0,-463050.0
Gavin Stone,lad,ARB1,0.5,3472875.0,1157625.0,2315250.0
Will Smith,lad,,0.1,694575.0,7500000.0,-6805425.0
James Outman,lad,ARB2,-1.1724097372419582,0.0,2894062.5,-2894062.5
Max Meyer,mia,ARB3,3.7,31603162.5,15801581.25,15801581.25
Ryan Weathers,mia,ARB3,3.1,25351987.5,12675993.75,12675993.75
Edward Cabrera,mia,ARB 4,2.6,20142675.0,10071337.5,10071337.5
Nick Fortes,mia,ARB 4,1.2740372948233378,8849144.54,4630500.0,4218644.54
Adam Mazur,mia,ARB1,1.1,7640325.0,1910081.25,5730243.75
Vidal Brujan,mia,ARB3,1.0347962487842466,7187436.04,4630500.0,2556936.04
Declan Cronin,mia,ARB2,1.0,6945750.0,2894062.5,4051687.5
Jonah Bride,mia,ARB3,0.8681379345271363,6029869.06,4630500.0,1399369.06
Calvin Faucher,mia,ARB3,0.6,4167450.0,4630500.0,-463050.0
Valente Bellozo,mia,ARB1,0.6,4167450.0,1157625.0,3009825.0
George Soriano,mia,ARB2,0.5,3472875.0,2894062.5,578812.5
Andrew Nardi,mia,ARB3,0.4,2778300.0,4630500.0,-1852200.0
Anthony Veneziano,mia,ARB1,0.4,2778300.0,1157625.0,1620675.0
Jesus Tinoco,mia,ARB2,0.3,2083725.0,2894062.5,-810337.5
Lake Bachar,mia,ARB1,0.2,1389150.0,1157625.0,231525.0
Braxton Garrett,mia,ARB 4,-0.1,0.0,4630500.0,-4630500.0
