mlbam_id,fg_id,name,source
473879,11710,Sam Dyson,mlb_api
575008,sa506837,Jesus Solorzano,mlb_api
605795,11776,Angel Sánchez,mlb_api
605131,12158,Austin Barnes,mlb_api
571849,sa501959,Brent Keys,mlb_api
592169,17237,Austin Brice,mlb_api
621573,18288,Austin Dean,mlb_api
519076,10547,Jimmy Nelson,mlb_api
621438,13675,Tyrone Taylor,mlb_api
642207,15816,Devin Williams,mlb_api
606115,13185,Orlando Arcia,mlb_api
571745,14274,Mitch Haniger,mlb_api
547170,13157,Nicky Delmonico,mlb_api
518782,10065,Johnny Hellweg,mlb_api
572391,sa502154,Victor Roache,mlb_api
543380,13119,Taylor Jungmann,mlb_api
519051,sa526553,Hunter Morris,mlb_api
623913,14382,Wei-Chung Wang,mlb_api
621520,sa657922,Clint Coulter,mlb_api
641913,sa737623,Tucker Neuhaus,mlb_api
592341,12166,David Goforth,mlb_api
605439,13228,Michael Reed,mlb_api
592865,14899,Taylor Williams,mlb_api
543193,12545,Drew Gagnon,mlb_api
516414,10240,Ariel Peña,mlb_api
518468,9654,Michael Blazek,mlb_api
605347,14527,Jorge López,mlb_api
621439,14161,Byron Buxton,mlb_api
593934,12164,Miguel Sanó,mlb_api
543542,12833,Alex Meyer,mlb_api
640464,15502,Kohl Stewart,mlb_api
621244,14168,José Berríos,mlb_api
626929,15906,Lewis Thorpe,mlb_api
592696,12155,Eddie Rosario,mlb_api
593871,13152,Jorge Polanco,mlb_api
500887,6806,Josmil Pinto,mlb_api
602928,14532,Felix Jorge,mlb_api
542454,10322,Danny Santana,mlb_api
595974,sa597772,Travis Harrison,mlb_api
543507,6398,Trevor May,mlb_api
608724,sa621791,Adam Brett Walker,mlb_api
596146,12144,Max Kepler,mlb_api
622864,15885,Fernando Romero,mlb_api
573627,12101,Kennys Vargas,mlb_api
624427,15492,Stephen Gonsalves,mlb_api
572703,14288,Luke Bard,mlb_api
608691,sa621016,Mason Melotakis,mlb_api
592789,11762,Noah Syndergaard,mlb_api
518595,7739,Travis d'Arnaud,mlb_api
606160,12760,Rafael Montero,mlb_api
642086,15653,Dominic Smith,mlb_api
527038,5827,Wilmer Flores,mlb_api
642708,15518,Amed Rosario,mlb_api
607043,12927,Brandon Nimmo,mlb_api
608700,13807,Kevin Plawecki,mlb_api
527049,7216,César Puello,mlb_api
608325,17005,Gavin Cecchini,mlb_api
599096,14335,Dilson Herrera,mlb_api
571927,13361,Steven Matz,mlb_api
543508,12537,Cory Mazzoni,mlb_api
594798,10954,Jacob deGrom,mlb_api
593619,12178,Domingo Tapia,mlb_api
593679,12938,Gabriel Ynoa,mlb_api
605242,13218,Michael Fulmer,mlb_api
581532,sa502020,Jayce Boyd,mlb_api
544727,5114,Jeurys Familia,mlb_api
502195,9195,Vic Black,mlb_api
596142,11442,Gary Sánchez,mlb_api
592863,11859,Mason Williams,mlb_api
571761,10336,Slade Heathcott,mlb_api
571974,10346,John Ryan Murphy,mlb_api
592429,sa550383,Eric Jagielo,mlb_api
592122,11850,Tyler Austin,mlb_api
595885,14131,Greg Bird,mlb_api
624420,sa737534,Ian Clarkin,mlb_api
592450,15640,Aaron Judge,mlb_api
622663,15890,Luis Severino,mlb_api
641741,15697,Gosuke Katoh,mlb_api
542432,10171,José Ramírez,mlb_api
571951,11479,Bryan Mitchell,mlb_api
605384,sa598328,Mark Montgomery,mlb_api
606127,sa657482,Jose Rafael De Paula,mlb_api
620443,15905,Luis Torrens,mlb_api
623214,15496,Abiatal Avelino,mlb_api
609280,15878,Miguel Andujar,mlb_api
544365,5365,Manny Banuelos,mlb_api
553883,11681,Jose Campos,mlb_api
596748,12179,Maikel Franco,mlb_api
592145,11437,Jesse Biddle,mlb_api
641487,15491,J.P. Crawford,mlb_api
596451,13546,Roman Quinn,mlb_api
571437,11270,Aaron Altherr,mlb_api
605894,14697,Severino González,mlb_api
624636,14558,Carlos Tocci,mlb_api
543495,3877,Ethan Martin,mlb_api
514917,10556,César Hernández,mlb_api
622226,15115,Dylan Cozens,mlb_api
620453,15988,Deivy Grullón,mlb_api
642045,sa737636,Cord Sandberg,mlb_api
595284,14942,Andrew Knapp,mlb_api
571633,sa500838,Kelly Dugan,mlb_api
573088,13444,Cameron Perkins,mlb_api
608339,14973,Zach Green,mlb_api
571830,10349,Tommy Joseph,mlb_api
543944,sa455460,Austin Wright,mlb_api
621156,sa657870,Mitch Gueller,mlb_api
519237,11146,Cameron Rupp,mlb_api
570256,12907,Gregory Polanco,mlb_api
592791,11674,Jameson Taillon,mlb_api
607192,14374,Tyler Glasnow,mlb_api
640457,15672,Austin Meadows,mlb_api
593700,12926,Alen Hanson,mlb_api
605137,13145,Josh Bell,mlb_api
624512,15674,Reese McGuire,mlb_api
592468,11694,Nick Kingham,mlb_api
623912,14387,Harold Ramírez,mlb_api
599093,sa599061,Luis Heredia,mlb_api
591994,12956,Willy García,mlb_api
592238,11366,Brandon Cumpton,mlb_api
608627,sa577859,Barrett Barnes,mlb_api
506997,6178,Tony Sanchez,mlb_api
621500,14555,Wyatt Mathisen,mlb_api
