Name,Predicted_WAR_6_Years,Top 100,Org,Org Rk
Luis Morales,-1.1104699,107.0,OAK,3.0
Santiago Suarez,-1.1105447,,TBR,13.0
Edgar Portes,-1.1117215,,BAL,23.0
Yoel Roque,-1.113019,,MIN,19.0
Juan Morillo,-1.1136113,,LAD,44.0
Edgardo Henriquez,-1.1139294,,LAD,21.0
Cy Nielson,-1.1151841,,PIT,26.0
Angel Benitez,-1.1155246,,NYY,33.0
Keagan Gillies,-1.1166662,,BAL,36.0
Cole Miller,-1.118983,,OAK,20.0
Cristian Mena,-1.1199301,,ARI,10.000000000000002
Ronan Kopp,-1.1205165,,LAD,19.0
Jaden Hill,-1.1206708,,COL,13.0
José Buttó,-1.1208045,,NYM,16.0
Drew Dowd,-1.1209154,,TBR,22.0
Luis Peralta,-1.1222396,,PIT,25.0
Mason Montgomery,-1.1223037,,TBR,27.0
Ben Kudrna,-1.1223654,,KCR,2.0
Michael Prosecky,-1.122638,,COL,35.0
Antonio Jimenez,-1.1232951,,TBR,26.0
Cody Morris,-1.1235011,,NYY,20.0
Zach Maxwell,-1.1244261,,CIN,11.0
Juan Sanchez,-1.1245319,,SFG,23.0
Yosver Zulueta,-1.1250232,,CIN,36.0
Jhancarlos  Lara,-1.1259911,,ATL,11.0
Cory Lewis,-1.1268085,,MIN,33.0
Tyler Schlaffer,-1.1269358,,CHC,21.0
Carlos Duran,-1.1270745,,LAD,22.0
Christian McGowan,-1.1300957,,PHI,11.0
CJ Van Eyk,-1.1302613,,TOR,24.0
Grant Taylor,-1.1306052,,CHW,22.0
Jordarlin Mendoza,-1.130615,,NYY,34.0
Gabriel Hughes,-1.1308641,,COL,10.000000000000002
Connor Cooke,-1.1314992,,TOR,15.0
Zander Mueth,-1.1330941,,PIT,13.0
Royber Salinas,-1.1332335,,OAK,5.0
Sem Robberse,-1.1340219,,STL,8.0
Barrett Kent,-1.1340921,,LAA,4.0
Kenya Huggins,-1.1342772,,CIN,40.0
Justin King,-1.1358604,,MIL,42.0
Matt Krook,-1.1367769,,BAL,40.0
Harold Chirino,-1.1369916,,MIL,33.0
Reid Birlingmair,-1.1371269,,TEX,37.0
Andre Granillo,-1.1374328,,STL,21.0
Trevor Martin,-1.1401231,,TBR,41.0
Luis Alvarez,-1.1401294,,NYM,38.0
Anthony Molina,-1.1411664,,COL,38.0
Elison Joseph,-1.1427169,,ATL,32.0
Victor Simeon,-1.1428534,,TEX,39.0
Yeferson Vargas,-1.1434617,,BOS,47.0
Brady Smith,-1.1446176,,LAD,31.0
Carlos Vargas,-1.1457641,,SEA,29.0
Noah Cameron,-1.1457746,,KCR,15.0
Jeter Martinez,-1.1465334,,SEA,18.0
Tyler Owens,-1.1475732,,TEX,35.0
Justin Armbruester,-1.1498656,,BAL,33.0
Henry Lalane,-1.1503482,,NYY,8.0
Kyle Carr,-1.1508547,,NYY,25.0
Parker Messick,-1.1512777,,CLE,11.0
Shane Smith,-1.1517034,,MIL,24.0
Daniel Robert,-1.1531386,,TEX,31.0
Will Sanders,-1.153517,,CHC,20.0
Troy Melton,-1.1542056,,DET,8.0
Gavin Stone,-1.1578898,,LAD,13.0
Josh Knoth,-1.1582096,,MIL,7.0
Chris McElvain,-1.1585552,,TOR,39.0
Jose Rodriguez,-1.1592426,,LAD,41.0
Anthony Maldonado,-1.1593628,,MIA,20.0
Chalniel Arias,-1.1596427,,NYY,16.0
Carson Spiers,-1.1597733,,CIN,26.0
Chih-Jung Liu,-1.1608133,,BOS,44.0
Carlos Lagrange,-1.1618168,,NYY,11.0
Alexis De La Cruz,-1.1632811,,PHI,16.0
Travis Adams,-1.1637573,,MIN,34.0
Moisés Chace,-1.1638924,,BAL,24.0
Frank Mozzicato,-1.1645033,,KCR,25.0
Alex Makarewich,-1.1661755,,LAD,49.0
Owen Murphy,-1.1662164,,ATL,10.000000000000002
Carlos Castillo,-1.1671995,,PIT,29.0
Ryan Lobus,-1.1683993,,TEX,30.0
Trace Bright,-1.1693041,,BAL,32.0
Alejandro Rosario,-1.1698217,101.0,TEX,4.0
Jacob Wallace,-1.1704893,,KCR,33.0
Sam Aldegheri,-1.1712368,,PHI,22.0
Nolan Hoffmann,-1.1731585,,BAL,35.0
Nolan DeVos,-1.1733754,,HOU,41.0
Jose Urbina,-1.1734649,,TBR,36.0
Richard Fitts,-1.1739085,,BOS,21.0
Adam Maier,-1.1741327,,ATL,29.0
Jacob Miller,-1.1752492,,MIA,28.0
Blake Walston,-1.1775913,,ARI,33.0
Noah Dean,-1.1776797,,BOS,32.0
Edgar Isea,-1.1782205,,ARI,49.0
Dugan Darnell,-1.1785724,,COL,43.0
Joey Estes,-1.1786151,,OAK,14.0
Dalton Rogers,-1.1791129,,BOS,45.0
Evan Shawver,-1.1792023,,COL,32.0
Ky Bush,-1.1807389,,CHW,17.0
Dylan Smith,-1.182705,,DET,23.0
Kadon Morton,-1.183759,,ATL,16.0
Ryan Cusick,-1.1841586,,OAK,30.0
Anthony Solometo,-1.1870663,,PIT,16.0
Keider Montero,-1.1878045,,DET,22.0
Luis De León,-1.187928,,BAL,12.0
Ian Bedell,-1.1888899,,STL,23.0
Alfredo Zarraga,-1.1911628,,TBR,43.0
James Hicks,-1.1912594,,HOU,29.0
Chad Dallas,-1.1926218,,TOR,17.0
Doug Nikhazy,-1.1927888,,CLE,34.0
Henry Williams,-1.1932826,,KCR,31.0
Austin Krob,-1.1933901,,SDP,20.0
Randy Vásquez,-1.1950424,,SDP,8.0
Jackson Baumeister,-1.1958728,,BAL,13.0
Luis Curvelo,-1.196198,,SEA,31.0
Yordanny Monegro,-1.1977116,,BOS,27.0
Alex Santos II,-1.1979187,,HOU,38.0
Gerardo Gutierrez,-1.1979457,,ARI,32.0
Enniel Cortez,-1.1989567,,MIL,39.0
Griff McGarry,-1.1991563,,PHI,24.0
Mitch Bratt,-1.2002968,,TEX,18.0
Carson Palmquist,-1.2007293,,COL,20.0
Luis R. Rodriguez,-1.202687,,NYM,39.0
Dylan Lesko,-1.2030232,108.0,SDP,4.0
Brendan Beck,-1.2045354,,NYY,29.0
Kai-Wei Teng,-1.2048626,,SFG,33.0
McCade Brown,-1.205194,,COL,36.0
Dylan Ray,-1.2078842,,ARI,19.0
Daison Acosta,-1.2093122,,WSN,33.0
Zack Showalter,-1.2093735,,STL,30.0
Landen Roupp,-1.2096212,,SFG,18.0
Alek Jacob,-1.2112432,,SDP,21.0
Garrett Baumann,-1.2120061,,ATL,12.0
Cade Cavalli,-1.2132769,61.0,WSN,3.0
Hayden Juenger,-1.2144127,,TOR,28.0
Luichi Casilla,-1.2150424,,COL,19.0
Colton Gordon,-1.2156055,,HOU,28.0
Mason Albright,-1.2164316,,COL,26.0
Dedniel Núñez,-1.2174135,,NYM,33.0
Hayden Wynja,-1.2179027,,SFG,39.0
Franco Aleman,-1.2186563,,CLE,26.0
Brandyn Garcia,-1.2191927,,SEA,26.0
Ricardo Velez,-1.2211057,,MIN,39.0
