sample_bin,count,RMSE,MAE,avg_sample_size,metric
1300-1400,220,0.0233772610419772,0.018675825277272733,1350.0454545454545,BB%
1400-1500,273,0.02082261822059103,0.01617756106959707,1449.2271062271063,BB%
1500-1600,249,0.02150756579475919,0.017083642228915664,1549.5180722891566,BB%
1600-1700,235,0.023672311955766027,0.018759293961702127,1647.395744680851,BB%
1700-1800,220,0.02210075207513718,0.01712000569090909,1753.6181818181817,BB%
1800-1900,229,0.020626160694022545,0.01621018550218341,1850.7336244541484,BB%
1900-2000,227,0.023119243753221972,0.018666154594713658,1950.8325991189427,BB%
2000-2100,216,0.022266453416373667,0.018127896486111114,2046.4305555555557,BB%
2100-2200,251,0.021808332267641364,0.016882607083665336,2149.9561752988047,BB%
2200-2300,239,0.023000298422767292,0.017398831330543936,2248.1380753138073,BB%
2300-2400,290,0.021407001587504207,0.016555004372413796,2346.9172413793103,BB%
2400-2500,270,0.01961118315144608,0.01517357977777778,2449.0481481481484,BB%
2500-2600,275,0.020377176130601388,0.016272966916363634,2550.3054545454547,BB%
2600-2700,279,0.02099081462379051,0.016535081329749107,2650.2580645161293,BB%
2700-2800,261,0.020848300472242023,0.01632047408045977,2751.103448275862,BB%
2800-2900,250,0.021849055149586443,0.016840878588,2849.46,BB%
2900-3000,225,0.018739996327729123,0.014721558084444445,2950.16,BB%
3000-3100,207,0.02184374573593643,0.017080001130434782,3049.903381642512,BB%
3100-3200,201,0.021406480761106763,0.01649119890547264,3144.402985074627,BB%
3200-3300,151,0.018499656979574224,0.015501399364238411,3246.4503311258277,BB%
3300-3400,137,0.020894430779717695,0.017200156343065695,3350.934306569343,BB%
3400-3500,77,0.01982466660331012,0.01565945292207792,3439.090909090909,BB%
3500-3600,37,0.022487895276210042,0.017018824513513515,3534.2162162162163,BB%
3600-3700,12,0.015360367298459677,0.01290171575,3639.6666666666665,BB%
3700-3800,3,0.014878743785095743,0.009562725333333327,3719.3333333333335,BB%
0-100,146,34.47891115770937,27.24721374657534,85.41780821917808,wRC+
100-200,424,30.945305020492224,24.56789604716981,148.4433962264151,wRC+
200-300,373,27.195863213735898,21.455381415549596,247.66487935656838,wRC+
300-400,341,27.68944962726768,22.194596269794722,349.82697947214075,wRC+
400-500,335,28.867492198579054,22.596646719402983,449.5820895522388,wRC+
500-600,354,26.979441464959258,21.071745180790963,549.5621468926554,wRC+
600-700,289,25.41732834701129,19.55134789965398,647.9757785467128,wRC+
700-800,328,23.984149098370867,18.675400777439027,750.719512195122,wRC+
800-900,268,22.111494887055766,17.49635790671642,852.1156716417911,wRC+
900-1000,273,23.606346359535884,18.207191274725275,951.5750915750916,wRC+
1000-1100,282,22.487045397249826,17.616502751773048,1054.712765957447,wRC+
1100-1200,249,23.03703581873205,18.170436060240963,1150.1927710843374,wRC+
1200-1300,254,23.388458379996848,17.971830602362207,1250.0354330708662,wRC+
1300-1400,220,21.44323059228077,16.92085575909091,1350.0454545454545,wRC+
1400-1500,273,22.983608415489044,18.326264637362637,1449.2271062271063,wRC+
1500-1600,249,25.031761060044953,19.209082325301207,1549.5180722891566,wRC+
1600-1700,235,23.38426870373043,18.175984510638298,1647.395744680851,wRC+
1700-1800,220,22.062672589401327,17.03605694090909,1753.6181818181817,wRC+
1800-1900,229,20.045213233130777,16.107014406113535,1850.7336244541484,wRC+
1900-2000,227,22.359545070623323,17.73945116740088,1950.8325991189427,wRC+
2000-2100,216,24.48599851661946,18.376597555555556,2046.4305555555557,wRC+
